bank,account,year,rank
RBS,TL,1950,2
RBS,D,1950,2
RBS,A,1950,2
BLB,TL,1950,7
BLB,D,1950,7
BLB,A,1950,7
CB,TL,1950,3
CB,D,1950,3
CB,A,1950,3
NB,TL,1950,5
NB,D,1950,5
NB,A,1950,4
UB,TL,1950,6
UB,D,1950,6
UB,A,1950,6
CIB,TL,1950,1
CIB,D,1950,1
CIB,A,1950,1
CGB,TL,1950,
CGB,D,1950,
CGB,A,1950,
BS,TL,1955,1
BS,D,1955,1
BS,A,1955,1
RBS,TL,1955,3
RBS,D,1955,2
RBS,A,1955,2
BLB,TL,1955,6
BLB,D,1955,6
BLB,A,1955,6
CB,TL,1955,4
CB,D,1955,4
CB,A,1955,4
NB,TL,1955,5
NB,D,1955,5
NB,A,1955,
UB,TL,1955,
UB,D,1955,
UB,A,1955,
CIB,TL,1955,2
CIB,D,1955,2
CIB,A,1955,3
CGB,TL,1955,
CGB,D,1955,
CGB,A,1955,
BS,TL,1960,2
BS,D,1960,1
BS,A,1960,1
RBS,TL,1960,4
RBS,D,1960,4
RBS,A,1960,4
BLB,TL,1960,5
BLB,D,1960,5
BLB,A,1960,5
CB,TL,1960,1
CB,D,1960,1
CB,A,1960,21
NB,TL,1960,
NB,D,1960,
NB,A,1960,
UB,TL,1960,
UB,D,1960,
UB,A,1960,
CIB,TL,1960,3
CIB,D,1960,2
CIB,A,1960,3
CGB,TL,1960,
CGB,D,1960,
CGB,A,1960,
BS,TL,1965,2
BS,D,1965,1
BS,A,1965,1
RBS,TL,1965,4
RBS,D,1965,4
RBS,A,1965,4
BLB,TL,1965,5
BLB,D,1965,5
BLB,A,1965,5
CB,TL,1965,1
CB,D,1965,1
CB,A,1965,21
NB,TL,1965,
NB,D,1965,
NB,A,1965,
UB,TL,1965,
UB,D,1965,
UB,A,1965,
CIB,TL,1965,3
CIB,D,1965,2
CIB,A,1965,3
CGB,TL,1965,
CGB,D,1965,
CGB,A,1965,
BS,TL,1970,2
BS,D,1970,2
BS,A,1970,2
RBS,TL,1970,1
RBS,D,1970,1
RBS,A,1970,1
BLB,TL,1970,4
BLB,D,1970,4
BLB,A,1970,4
CB,TL,1970,
CB,D,1970,
CB,A,1970,
NB,TL,1970,
NB,D,1970,
NB,A,1970,
UB,TL,1970,
UB,D,1970,
UB,A,1970,
CIB,TL,1970,3
CIB,D,1970,2
CIB,A,1970,3
CGB,TL,1970,
CGB,D,1970,
CGB,A,1970,
BS,TL,1972,2
BS,D,1972,2
BS,A,1972,2
RBS,TL,1972,1
RBS,D,1972,1
RBS,A,1972,1
BLB,TL,1972,
BLB,D,1972,
BLB,A,1972,
CB,TL,1972,
CB,D,1972,
CB,A,1972,
NB,TL,1972,
NB,D,1972,
NB,A,1972,
UB,TL,1972,
UB,D,1972,
UB,A,1972,
CIB,TL,1972,3
CIB,D,1972,3
CIB,A,1972,3
CGB,TL,1972,
CGB,D,1972,
CGB,A,1972,
